pitchOutcome,Vel,PXNorm,PZNorm,x,y,pitchType,count,outs,inn,batterHand,pitcherHand,batter,pitcher,battingTeam,pitchingTeam,pitchOutcome,Vel,PXNorm,PZNorm,pitchType,count
Ball,62.2,-0.500135851434784,0.99481636007001,0.500135851434784,0.99481636007001,Screwball,2-0,1,Bot 4,R,R,Fuentes,Christian,UCSB,UCSD,Ball,62.2,-0.500135851434784,0.99481636007001,Screwball,2-0
SL,62.1,0.726685900649595,0.549671468239189,-0.726685900649595,0.549671468239189,Curveball,3-0,1,Bot 4,R,R,Fuentes,Christian,UCSB,UCSD,SL,62.1,0.726685900649595,0.549671468239189,Curveball,3-0
Ball,62.0,-1.07263257644916,-1.04774496556064,1.07263257644916,-1.04774496556064,Dropball,3-1,1,Bot 4,R,R,Fuentes,Christian,UCSB,UCSD,Ball,62.0,-1.07263257644916,-1.04774496556064,Dropball,3-1
Ball,60.9,1.44494356282037,0.421386531618964,-1.44494356282037,0.421386531618964,Curveball,0-0,1,Bot 4,R,R,Maae,Caldwell,UCSB,UCSD,Ball,60.9,1.44494356282037,0.421386531618964,Curveball,0-0
B,60.1,0.236090558868575,0.126591474985409,-0.236090558868575,0.126591474985409,Curveball,1-0,1,Bot 4,R,R,Maae,Caldwell,UCSB,UCSD,B,60.1,0.236090558868575,0.126591474985409,Curveball,1-0
Ball,60.7,1.21200602241089,0.914369693221579,-1.21200602241089,0.914369693221579,Riseball,0-0,1,Bot 4,R,R,Carr,Caldwell,UCSB,UCSD,Ball,60.7,1.21200602241089,0.914369693221579,Riseball,0-0
S,62.0,-0.714058614030317,0.329927985172784,0.714058614030317,0.329927985172784,Screwball,1-0,1,Bot 4,R,R,Carr,Caldwell,UCSB,UCSD,S,62.0,-0.714058614030317,0.329927985172784,Screwball,1-0
SL,61.4,0.630291046791347,0.134728452713074,-0.630291046791347,0.134728452713074,Curveball,1-1,1,Bot 4,R,R,Carr,Caldwell,UCSB,UCSD,SL,61.4,0.630291046791347,0.134728452713074,Curveball,1-1
B,62.4,0.495355736343097,0.368004509711656,-0.495355736343097,0.368004509711656,Curveball,1-2,1,Bot 4,R,R,Carr,Caldwell,UCSB,UCSD,B,62.4,0.495355736343097,0.368004509711656,Curveball,1-2
SL,60.1,-0.90379530742107,0.473889668054451,0.90379530742107,0.473889668054451,Screwball,0-0,2,Bot 4,L,R,Mendoza,Caldwell,UCSB,UCSD,SL,60.1,-0.90379530742107,0.473889668054451,Screwball,0-0
Ball,60.9,-1.3591877911269,-1.49878419223841,1.3591877911269,-1.49878419223841,Dropball,0-1,2,Bot 4,L,R,Mendoza,Caldwell,UCSB,UCSD,Ball,60.9,-1.3591877911269,-1.49878419223841,Dropball,0-1
S,60.9,-1.57693914996001,0.197509996465619,1.57693914996001,0.197509996465619,Screwball,1-1,2,Bot 4,L,R,Mendoza,Caldwell,UCSB,UCSD,S,60.9,-1.57693914996001,0.197509996465619,Screwball,1-1
S,60.4,-1.1273341204888,0.264848849848776,1.1273341204888,0.264848849848776,Screwball,1-2,2,Bot 4,L,R,Mendoza,Caldwell,UCSB,UCSD,S,60.4,-1.1273341204888,0.264848849848776,Screwball,1-2
S,62.7,-0.0976530745728344,1.29225848387572,0.0976530745728344,1.29225848387572,Fastball,1-2,2,Bot 4,L,R,Mendoza,Caldwell,UCSB,UCSD,S,62.7,-0.0976530745728344,1.29225848387572,Fastball,1-2
S,60.5,-0.935543883356107,1.16693601027695,0.935543883356107,1.16693601027695,Fastball,1-2,2,Bot 4,L,R,Mendoza,Caldwell,UCSB,UCSD,S,60.5,-0.935543883356107,1.16693601027695,Fastball,1-2
SL,60.3,0.447248846139285,0.128525588497583,-0.447248846139285,0.128525588497583,Curveball,0-0,0,Bot 5,R,R,Santos,Caldwell,UCSB,UCSD,SL,60.3,0.447248846139285,0.128525588497583,Curveball,0-0
B,61.7,0.177552423207259,0.855456449390755,-0.177552423207259,0.855456449390755,Screwball,0-1,0,Bot 5,R,R,Santos,Caldwell,UCSB,UCSD,B,61.7,0.177552423207259,0.855456449390755,Screwball,0-1
Ball,60.1,-1.21393357173612,-0.038949470912987,1.21393357173612,-0.038949470912987,Screwball,0-0,1,Bot 5,L,R,Mejia,Caldwell,UCSB,UCSD,Ball,60.1,-1.21393357173612,-0.038949470912987,Screwball,0-0
SL,60.5,-0.824047195489896,-0.054974186009961,0.824047195489896,-0.054974186009961,Screwball,1-0,1,Bot 5,L,R,Mejia,Caldwell,UCSB,UCSD,SL,60.5,-0.824047195489896,-0.054974186009961,Screwball,1-0
Ball,61.6,1.01862624078156,-0.300927394429859,-1.01862624078156,-0.300927394429859,Curveball,1-1,1,Bot 5,L,R,Mejia,Caldwell,UCSB,UCSD,Ball,61.6,1.01862624078156,-0.300927394429859,Curveball,1-1
